Id,UnitNumber,StreetNumber,SuburbName,SuburbCode,SoldDate,DayOfWeek,DayType,HolidayStatus,SoldStatus,Bed,Bath,Garage,LongTermResidentPercent,RentedResidentPercent,SingleResident,Garden,Pool,Heating,Cooling,AvgDaysOnMarketSuburb,PropertySoldInSuburb,LandSize,BuildYear,NumOfTimesSold,NumOfTimesRented,LastSoldPrice,LastRentedPrice,LastSoldYear,LastRentedYear,MinTemp,MaxTemp,AvgRainfall,DistanceCBD,DistanceRailwayStation,DistanceBusStation,DistanceShoppingMall,DistanceSchool,PriceLowEnd,PriceHighEnd,LandArea,Frontage,Slop,ExternalPricePrediction,SimilarPropertyPrice1,SimilarPropertyPrice2,Price
16755,NA,8,notting hill,3168,20151107,WkEnd,SDay,WrkngDy,sold,3,1,1,75,26,47,Y,N,Y,N,71,38,786,1960,2,1,630000,125,2010,2012,11.9,16.8,1.2,24.9,1.2,1.2,1.7,6.97,880000,1170000,799,18.5,NrlyLvl,NA,1100000,1080000,855000
16757,1,1,clayton,3168,20170520,WkEnd,SDay,WrkngDy,sold,4,1,1,38,65,57,N,N,Y,Y,59.5,107.5,NA,1954,1,0,NA,NA,NA,NA,10.2,19.3,0,24.7,1.1,1.2,1.5,1.13,NA,NA,218,NA,GntlyInclnd,780000,635000,545000,856500
16758,3,4,clayton,3168,20161217,WkEnd,SDay,WrkngDy,sold,4,3,2,29,70,65,N,N,Y,N,59.5,107.5,195,1984,0,0,NA,NA,NA,NA,15.1,20.9,0,24,1,0.5,2.3,0.46,NA,NA,716,16.7,NrlyLvl,NA,NA,NA,850000
16759,2,8,clayton,3168,20151107,WkEnd,SDay,WrkngDy,sold,4,2,2,57,54,55,N,N,Y,N,59.5,107.5,NA,NA,0,0,NA,NA,NA,NA,11.9,16.8,1.2,25,0.6,0.2,0.7,1.59,NA,NA,NA,NA,NA,NA,NA,NA,860000
16760,1,6,clayton,3168,20150530,WkEnd,SDay,WrkngDy,sold,4,2,2,40,55,57,N,N,Y,N,59.5,107.5,NA,2006,2,0,486000,NA,2006,NA,11,17.3,0,24.7,0.3,0.4,0.7,0.95,800000,1060000,NA,NA,NA,861667,635000,777000,860000
16765,NA,5,notting hill,3168,20150727,WkDay,MDay,WrkngDy,sold,3,1,2,62,25,47,N,N,Y,N,71,38,718,1980,3,1,410000,340,2008,2010,6.2,13.9,0.8,25.4,1.8,2,2.2,7.52,880000,1170000,718,19.1,GntlyInclnd,NA,1100000,1080000,850000
16766,NA,1,notting hill,3168,20150530,WkEnd,SDay,WrkngDy,sold,4,1,1,0,28,50,Y,N,Y,N,71,38,636,1970,3,2,347000,540,2004,2018,11,17.3,0,23.8,1.2,0.9,3.3,7.22,925000,1230000,636,NA,GntlyInclnd,NA,1510000,1080000,851000
16767,NA,1,clayton,3168,20160820,WkEnd,SDay,WrkngDy,sold,3,1,2,55,42,52,N,N,Y,N,59.5,107.5,728,1975,1,1,NA,360,NA,2017,6.9,13.6,9.4,25.2,1.8,0.6,1.8,1.56,880000,1170000,721,16.8,NrlyLvl,1111667,870000,766000,920000
16768,NA,8,clayton,3168,20160604,WkEnd,SDay,WrkngDy,sold,2,1,2,41,49,61,Y,N,N,N,59.5,107.5,728,1960,2,1,905000,350,2016,2016,9.8,13.4,6.2,25.4,0.2,0.2,1.2,1.77,NA,NA,724,21.4,NrlyLvl,1200500,1260000,1010000,905000
16769,NA,2,clayton,3168,20160506,WkDay,FDay,WrkngDy,sold,3,1,1,52,45,51,N,N,N,N,59.5,107.5,773,1960,1,0,NA,NA,NA,NA,15.9,24.7,0,23.9,1.3,0.2,1.8,0.75,925000,1230000,769,NA,GntlyInclnd,1254629,735000,1400000,911999
16770,NA,2,clayton,3168,20150926,WkEnd,SDay,WrkngDy,sold,4,2,2,60,31,47,Y,N,Y,N,59.5,107.5,287,2010,2,0,13000,NA,2004,NA,6.6,17.9,0,23.2,1,0.3,1.4,1.1,880000,1170000,NA,NA,NA,909333,950000,1400000,917000
16771,NA,0,clayton,3168,20150514,WkDay,ThDay,WrkngDy,sold,4,1,2,60,31,47,N,N,Y,Y,59.5,107.5,796,1950,2,1,655000,460,2012,2015,7.3,14.6,4.4,23.2,1.5,0.4,1,0.85,880000,1170000,793,17.1,NrlyLvl,1176333,1100000,1220000,902000
16772,NA,5,clayton,3168,20150509,WkEnd,SDay,WrkngDy,sold,3,1,1,38,65,57,N,N,N,N,59.5,107.5,697,1980,2,2,170000,350,2000,2008,12.8,18.7,0,25.1,0.8,0.9,1.2,1.41,1030000,1360000,699,15.3,NrlyLvl,1254629,2350000,1750000,942000
16773,NA,1,clayton,3168,20141122,WkEnd,SDay,WrkngDy,sold,4,2,2,38,63,54,Y,N,N,N,59.5,107.5,895,2015,1,0,NA,NA,NA,NA,12.9,31,0,22.6,0.7,0.8,1.5,0.3,1120000,1510000,874,NA,NrlyLvl,1355000,828000,820000,950000
16774,NA,2,clayton,3168,20171013,WkDay,FDay,WrkngDy,sold,4,2,2,29,70,65,Y,N,Y,N,59.5,107.5,389,1998,5,0,535000,NA,2012,NA,13.1,16.7,0,24,0.3,0.3,2.4,0.48,NA,NA,389,NA,GntlyInclnd,873167,1100000,1000000,932000
16775,2,3,clayton,3168,20170919,WkDay,TuDay,WrkngDy,sold,3,2,2,40,55,57,N,N,N,N,59.5,107.5,NA,NA,0,0,NA,NA,NA,NA,9,13.9,0.2,24.8,0.3,0.3,0.9,0.92,NA,NA,696,15.2,NrlyLvl,NA,NA,NA,912500
16776,NA,1,clayton,3168,20160426,WkDay,TuDay,WrkngDy,sold,4,2,2,58,46,51,N,N,N,N,59.5,107.5,709,1950,1,0,NA,NA,NA,NA,11.3,25.6,0,22.5,1.5,0.7,2,0.65,925000,1230000,706,17.6,NrlyLvl,1127963,1100000,1030000,940000
16777,NA,4,clayton,3168,20150424,WkDay,FDay,WrkngDy,sold,3,1,1,30,87,82,N,N,N,N,59.5,107.5,NA,NA,1,0,NA,NA,NA,NA,14.4,21.1,0,23.1,1.9,0.9,2,0.42,1180000,1580000,704,17.2,NrlyLvl,1215629,1120000,820000,950000
16778,NA,7,clayton,3168,20150407,WkDay,TuDay,WrkngDy,sold,4,2,2,44,54,48,N,N,N,N,59.5,107.5,726,1950,1,0,NA,NA,NA,NA,12.4,17.3,0,22.4,1.2,0.9,1.6,0.28,1030000,1360000,724,16.4,NrlyLvl,NA,1100000,1030000,920000
